Entity State,Total WOSB Action Obligation,EDWOSB Action Obligation,Ineligible NAICS Action Obligation,Eligible NAICS Action Obligation,Prop Ineligible
Alaska,39046634.95,4657836.04,843168.15,38203466.800000004,0.02159387489036363
Alabama,149584686.03,18619215.88,6578872.760000001,143005813.27,0.04398092434863669
Arkansas,1453460.84,109562.76000000001,461978.38,991482.4600000001,0.3178471461260697
Arizona,46549067.56,4738964.35,8810508.4,37738559.160000004,0.1892735743555676
California,370475344.24,72074119.12,43244014.96,327231329.28000003,0.11672575687516148
Colorado,120204554.47,7712961.55,22525151.93,97679402.53999999,0.18739017027530105
Connecticut,13669454.120000001,93051.0,1051011.2,12618442.920000002,0.07688757654647294
District of Columbia,173358851.4,4869234.11,10134496.2,163224355.20000002,0.05845964090184321
Delaware,17057564.93,259859.24,513624.8,16543940.129999999,0.030111261607843106
Florida,286228966.2,46754883.97,19602309.65,266626656.54999998,0.06848471665967956
Georgia,127728385.22,12289561.22,13188904.66,114539480.56,0.10325742893628043
Guam,2272874.21,0.0,961371.25,1311502.96,0.4229760035862257
Hawaii,67067081.519999996,14451263.24,4956466.3,62110615.22,0.07390311592016924
Iowa,8863849.73,448412.92000000004,469846.53,8394003.200000001,0.05300705047038292
Idaho,28539922.78,4463278.92,7337244.73,21202678.05,0.2570870561409417
Illinois,111249151.31,4922217.99,10581078.38,100668072.93,0.09511154247384254
Indiana,28067171.97,2727486.5,4795480.62,23271691.349999998,0.17085727857176772
Kansas,34950669.449999996,2062474.82,2481466.3,32469203.149999995,0.07099910642770249
Kentucky,26977611.09,11731052.3,130294.22,26847316.87,0.004829716744204129
Louisiana,108083672.99,8857955.92,3585999.83,104497673.16,0.033177997479154696
Massachusetts,21307484.97,6403124.47,6121214.36,15186270.61,0.28728000365216266
Maryland,1193520551.91,128041271.15,75799529.39,1117721022.52,0.06350919493484837
Maine,9847372.68,1627181.0,2861848.41,6985524.27,0.29062050386418403
Michigan,32047979.86,5216884.26,2571623.02,29476356.84,0.08024290551959927
Minnesota,14232298.16,1763669.21,370900.48,13861397.68,0.026060477080393035
Missouri,15991481.53,1782987.46,988954.17,15002527.36,0.061842560874971045
Mississippi,36703538.19,6541924.05,4773377.24,31930160.949999996,0.13005223679771893
Montana,11925126.96,2289761.94,338757.94,11586369.020000001,0.028407071986426884
North Carolina,71453805.48,9292868.62,3632670.44,67821135.04,0.05083942577441573
North Dakota,19476357.41,3586435.75,2274676.0,17201681.41,0.11679165421518109
Nebraska,9554134.53,73399.44,547478.78,9006655.75,0.0573028125447591
New Hampshire,26203338.11,1777449.0,1319556.57,24883781.54,0.05035833848575257
New Jersey,122773009.86,2153701.39,8689642.790000001,114083367.07,0.07077811971791632
New Mexico,67481650.02,16323582.59,12596497.549999999,54885152.47,0.1866655238315407
Nevada,15159974.82,257858.57,1169643.97,13990330.85,0.07715342432211243
New York,67779778.69,10203522.86,13316717.99,54463060.699999996,0.19647036693503847
Ohio,80790380.65,8569090.53,12310236.24,68480144.41000001,0.15237254907029577
Oklahoma,38541521.6,4384820.84,6100557.8100000005,32440963.79,0.15828533894728225
Oregon,14822293.07,748906.15,1364884.1,13457408.97,0.09208319479004877
Pennsylvania,199188709.27,5947731.48,20570245.93,178618463.34,0.10327014018709796
Puerto Rico,5536318.9,40045.04,789569.65,4746749.25,0.14261636012333032
South Carolina,33267061.81,2754829.71,1503025.61,31764036.2,0.04518059390349268
South Dakota,27539950.73,421469.31,2131898.87,25408051.86,0.07741113594940699
Tennessee,193042977.89,2166398.59,11166691.95,181876285.94,0.05784562625408223
Texas,391853076.75,38951281.5,92195775.01,299657301.74,0.23528148808901755
Utah,35403928.33,11329332.86,1824186.72,33579741.61,0.05152498058963278
Virginia,1819311313.39,173864747.97,51383164.87,1767928148.5200002,0.028243195373888794
Washington,73877472.79,9361716.870000001,5170435.02,68707037.77000001,0.06998662548592033
Wisconsin,25745927.41,5784448.26,2818620.25,22927307.16,0.10947829554219969
West Virginia,31901342.59,26400.0,421956.44,31479386.15,0.013226917920760776
Wyoming,16761835.09,1444539.12,84824.04999999996,16677011.04,0.005060546744706099
